CSFSubcategoryIndex,CSFID,CSFSubcategoryID,CSFSubcategoryDescription,CSFCategoryIndex
30,ID.BE-3,3,"Priorities for organizational mission, objectives, and activities are established and communicated",2
31,ID.BE-2,2,The organization's place in critical infrastructure and its industry sector is identified and communicated,2
32,ID.BE-4,4,Dependencies and critical functions for delivery of critical services are established,2
33,ID.BE-5,5,"Resilience requirements to support delivery of critical services are established for all operating states (e.g. under duress/attack, during recovery, normal operations)",2
34,DE.CM-1,1,The network is monitored to detect potential cybersecurity events,14
35,DE.CM-2,2,The physical environment is monitored to detect potential cybersecurity events,14
36,DE.CM-3,3,Personnel activity is monitored to detect potential cybersecurity events,14
37,DE.CM-4,4,Malicious code is detected,14
38,DE.CM-5,5,Unauthorized mobile code is detected,14
39,DE.CM-6,6,External service provider activity is monitored to detect potential cybersecurity events,14
40,DE.CM-7,7,"Monitoring for unauthorized personnel, connections, devices, and software is performed",14
41,DE.CM-8,8,Vulnerability scans are performed,14
42,RC.CO-1,1,Public relations are managed,23
43,RC.CO-2,2,Reputation is repaired after an incident ,23
44,RC.CO-3,3,Recovery activities are communicated to internal and external stakeholders as well as executive and management teams,23
45,RS.CO-1,1,Personnel know their roles and order of operations when a response is needed,17
46,RS.CO-2,2,Incidents are reported consistent with established criteria,17
47,RS.CO-3,3,Information is shared consistent with response plans,17
48,RS.CO-4,4,Coordination with stakeholders occurs consistent with response plans,17
49,RS.CO-5,5,Voluntary information sharing occurs with external stakeholders to achieve broader cybersecurity situational awareness ,17
50,DE.DP-1,1,Roles and responsibilities for detection are well defined to ensure accountability,15
51,DE.DP-2,2,Detection activities comply with all applicable requirements,15
52,DE.DP-3,3,Detection processes are tested,15
53,DE.DP-4,4,Event detection information is communicated,15
54,DE.DP-5,5,Detection processes are continuously improved,15
55,PR.DS-1,1,Data-at-rest is protected,9
56,PR.DS-2,2,Data-in-transit is protected,9
57,PR.DS-3,3,"Assets are formally managed throughout removal, transfers, and disposition",9
58,PR.DS-4,4,Adequate capacity to ensure availability is maintained,9
59,PR.DS-5,5,Protections against data leaks are implemented,9
60,PR.DS-6,6,"Integrity checking mechanisms are used to verify software, firmware, and information integrity",9
61,PR.DS-7,7,The development and testing environment(s) are separate from the production environment,9
62,PR.DS-8,8,Integrity checking mechanisms are used to verify hardware integrity,9
63,ID.GV-1,1,Organizational cybersecurity policy is established and communicated,3
64,ID.GV-2,2,Cybersecurity roles and responsibilities are coordinated and aligned with internal roles and external partners,3
65,ID.GV-3,3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed",3
66,ID.GV-4,4,Governance and risk management processes address cybersecurity risks,3
67,RC.IM-1,1,Recovery plans incorporate lessons learned,22
68,RC.IM-2,2,Recovery strategies are updated,22
69,RS.IM-1,1,Response plans incorporate lessons learned,20
70,RS.IM-2,2,Response strategies are updated,20
71,PR.IP-6,6,Data is destroyed according to policy,10
72,PR.IP-2,2,A System Development Life Cycle to manage systems is implemented,10
73,PR.IP-1,1,A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality),10
74,PR.IP-12,12,A vulnerability management plan is developed and implemented,10
75,PR.IP-3,3,Configuration change control processes are in place,10
76,PR.IP-4,4,"Backups of information are conducted, maintained, and tested ",10
77,PR.IP-5,5,Policy and regulations regarding the physical operating environment for organizational assets are met,10
78,PR.IP-7,7,Protection processes are improved,10
79,PR.IP-8,8,Effectiveness of protection technologies is shared,10
80,PR.IP-9,9,Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed,10
81,PR.IP-10,10,Response and recovery plans are tested,10
82,PR.IP-11,11,"Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)",10
83,PR.MA-1,1,"Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools",11
84,PR.MA-2,2,"Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access",11
85,RS.MI-1,1,Incidents are contained,19
86,RS.MI-2,2,Incidents are mitigated,19
87,RS.MI-3,3,Newly identified vulnerabilities are mitigated or documented as accepted risks,19
88,PR.PT-1,1,"Audit/log records are determined, documented, implemented, and reviewed in accordance with policy",12
89,PR.PT-2,2,Removable media is protected and its use restricted according to policy,12
90,PR.PT-3,3,The principle of least functionality is incorporated by configuring systems to provide only essential capabilities,12
91,PR.PT-4,4,Communications and control networks are protected,12
92,PR.PT-5,5,"Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations",12
93,ID.RA-4,4,Potential business impacts and likelihoods are identified,4
94,ID.RA-5,5,"Threats, vulnerabilities, likelihoods, and impacts are used to determine risk",4
95,ID.RA-6,6,Risk responses are identified and prioritized,4
96,ID.RA-1,1,Asset vulnerabilities are identified and documented,4
97,ID.RA-2,2,Cyber threat intelligence is received from information sharing forums and sources,4
98,ID.RA-3,3,"Threats, both internal and external, are identified and documented",4
99,ID.RM-1,1,"Risk management processes are established, managed, and agreed to by organizational stakeholders",5
100,ID.RM-2,2,Organizational risk tolerance is determined and clearly expressed,5
101,ID.RM-3,3,The organization's determination of risk tolerance is informed by its role in critical infrastructure and sector specific risk analysis,5
102,RC.RP-1,1,Recovery plan is executed during or after a cybersecurity incident ,21
103,RS.RP-1,1,Response plan is executed during or after an incident,16
104,ID.SC-1,1,"Cyber supply chain risk management processes are identified, established, assessed, managed, and agreed to by organizational stakeholders",6
105,ID.SC-2,2,"Suppliers and third party partners of information systems, components, and services are identified, prioritized, and assessed using a cyber supply chain risk assessment process ",6
106,ID.SC-3,3,Contracts with suppliers and third-party partners are used to implement appropriate measures designed to meet the objectives of an organization's cybersecurity program and Cyber Supply Chain Risk Management Plan.,6
107,ID.SC-4,4,"Suppliers and third-party partners are routinely assessed using audits, test results, or other forms of evaluations to confirm they are meeting their contractual obligations.",6
108,ID.SC-5,5,Response and recovery planning and testing are conducted with suppliers and third-party providers,6
